onset	duration	trial_type	feedback_source_volume	cen_signal	dmn_signal	pda	ball_y_position	cen_hit	dmn_hit	scale_factor	participant	run	feedback_on	slider_noting	slider_ballcheck	slider_difficulty	slider_calm
84.63514447212219	0	feedback	69	0.066556	0.071807	-0.005250999999999992	0.1333630674023631	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
85.79270315170288	0	feedback	70	0.01324	0.011282	0.0019579999999999997	0.1026114399430319	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
87.01041436195374	0	feedback	71	0.090898	-0.024874	0.11577200000000001	0.1144018055831731	1	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
88.20063352584839	0	feedback	72	0.069406	0.079789	-0.010383000000000003	0.0	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
89.4212498664856	0	feedback	73	0.066121	0.010087	0.056034	-0.0640226259683158	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
90.63689136505128	0	feedback	74	-0.009356	-0.012545	0.003189000000000001	0.2759623608648647	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
91.82912707328796	0	feedback	75	-0.015403	0.034827	-0.05023	0.2948508490801685	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
92.97998571395874	0	feedback	76	0.024127	-0.006773	0.0309	0.0066875191498554	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
94.27295517921448	0	feedback	77	0.062302	0.015864	0.04643800000000001	0.1977780290794924	1	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
95.39888620376588	0	feedback	78	0.072277	0.128026	-0.05574900000000001	0.0	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
96.59851622581482	0	feedback	79	0.062793	0.009977	0.052816	-0.3048018900100606	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
